id,pred_label,probs
0,org:product,"[0.008026322, 0.016927546, 0.16692029, 0.67188996, 0.0030993372, 0.018773716, 0.0032212278, 0.0020706612, 0.0052170926, 0.004193075, 0.0055501773, 0.00562452, 0.004046248, 0.004715552, 0.0052927854, 0.0040779826, 0.005456798, 0.005339509, 0.004766481, 0.0060630254, 0.0029358268, 0.0065468964, 0.004727079, 0.0060993987, 0.005656882, 0.0044266083, 0.004300903, 0.0049599875, 0.0053044274, 0.0037696762]"
1,per:alternate_names,"[0.008443778, 0.0021265983, 0.0023117845, 0.0038667875, 0.073157124, 0.003315523, 0.0037533126, 0.0029756457, 0.006084796, 0.0033521492, 0.0022748325, 0.0032776962, 0.82748485, 0.0021558725, 0.0011917491, 0.0051825703, 0.0059963125, 0.0019184091, 0.0029338072, 0.0036699492, 0.0020262438, 0.0065953154, 0.0036369476, 0.0029698398, 0.0032268802, 0.0041247243, 0.002872851, 0.002998984, 0.0031192114, 0.0029553738]"
2,no_relation,"[0.9164929, 0.0021237247, 0.0031421117, 0.0030930203, 0.0026077656, 0.002527533, 0.0021900693, 0.0029177081, 0.002966189, 0.0033576465, 0.0029116594, 0.0032274409, 0.0028327769, 0.0032029112, 0.0020989825, 0.0024467804, 0.0030004208, 0.0030528833, 0.0027874971, 0.0023848547, 0.002391852, 0.0027335822, 0.0036131493, 0.0033339583, 0.0032388864, 0.003259909, 0.0028300118, 0.003042095, 0.0029370047, 0.0032545414]"
3,no_relation,"[0.90343726, 0.0016383778, 0.003589703, 0.002053983, 0.002143117, 0.0029776033, 0.0028775493, 0.0018232857, 0.0023838258, 0.0032007473, 0.0061665904, 0.0034536587, 0.0035379347, 0.006416938, 0.011383707, 0.0016145532, 0.0022492597, 0.005818489, 0.0026749775, 0.0025006684, 0.0021068025, 0.0042029396, 0.001754293, 0.00313195, 0.0037086287, 0.0030773773, 0.0022624778, 0.0023960788, 0.0025725006, 0.0028447194]"
4,org:top_members/employees,"[0.3293058, 0.5756965, 0.0035783153, 0.002255989, 0.0035730775, 0.00408538, 0.0024357352, 0.0031536147, 0.0029799566, 0.004056495, 0.0032680514, 0.004727207, 0.00294021, 0.0035258504, 0.0026647022, 0.0024716773, 0.0036622786, 0.0038738074, 0.0026125242, 0.004277001, 0.0022384326, 0.002694139, 0.0025934596, 0.0037780707, 0.0036555787, 0.0037755347, 0.003994459, 0.0032111073, 0.00554288, 0.003372202]"
5,no_relation,"[0.9314707, 0.005590351, 0.005267057, 0.0029114094, 0.0011126942, 0.0014406365, 0.00095967087, 0.0027261826, 0.0013786982, 0.0023425266, 0.0023419547, 0.0014748002, 0.0015860973, 0.0017028806, 0.003065504, 0.0017095455, 0.0015275709, 0.0016970702, 0.0019928145, 0.003236632, 0.0067696427, 0.0015283169, 0.0019537928, 0.0018264785, 0.001803437, 0.0018475573, 0.0018525256, 0.0015470874, 0.0029556332, 0.0023807231]"
6,per:employee_of,"[0.0016622293, 0.0031084872, 0.0027997268, 0.0030956124, 0.0027026795, 0.003364052, 0.9170371, 0.0031929035, 0.002790174, 0.0028424282, 0.0030790304, 0.0029437754, 0.0031783206, 0.003066652, 0.0027033393, 0.0016055906, 0.0030143207, 0.0030472474, 0.0031553197, 0.002858434, 0.0029643297, 0.0030128493, 0.0028734773, 0.0025370733, 0.002707302, 0.0029502504, 0.0030910815, 0.0032285692, 0.0026310636, 0.0027566578]"
7,per:spouse,"[0.0027587265, 0.0025106228, 0.0023950683, 0.0030968012, 0.002872827, 0.0024452899, 0.0027285842, 0.0023435883, 0.0024916935, 0.0028784436, 0.0022085963, 0.0024656723, 0.0024862245, 0.0031628958, 0.0022714837, 0.002506336, 0.0023637002, 0.9233438, 0.0031617377, 0.0029010193, 0.0029539068, 0.0020737713, 0.002760748, 0.0028890038, 0.0025576416, 0.0029027907, 0.0028581358, 0.0025645196, 0.0024126747, 0.002633681]"
8,org:members,"[0.0042689177, 0.0019054527, 0.9358891, 0.0016163472, 0.0021073425, 0.0015396959, 0.0025314894, 0.009112626, 0.002139222, 0.0019993365, 0.0023188463, 0.0024010933, 0.0015951779, 0.0018297737, 0.0015139758, 0.001946833, 0.0015139758, 0.0018405266, 0.0016202983, 0.0012836404, 0.0015792901, 0.0015612718, 0.0022191503, 0.0020565165, 0.0020412598, 0.002273024, 0.0017092883, 0.0018382813, 0.0019625816, 0.0017856424]"
9,org:top_members/employees,"[0.004429393, 0.8835226, 0.0041521504, 0.0043315426, 0.004257886, 0.02398603, 0.0020907654, 0.0023358362, 0.0021751137, 0.0047817216, 0.0036503084, 0.003551522, 0.0063401675, 0.003288834, 0.0021814955, 0.0034250682, 0.0036894507, 0.0026767422, 0.0023830696, 0.0030161624, 0.0016093195, 0.0022706126, 0.002571685, 0.003879394, 0.0031903721, 0.0034779443, 0.003298886, 0.003331666, 0.0033263832, 0.0027779404]"
