id,pred_label,probs
0,org:product,"[0.011841638, 0.0074250954, 0.026777606, 0.90819275, 0.00065886514, 0.0017683541, 0.0012001813, 0.0012798869, 0.0050906604, 0.0015850585, 0.0018941787, 0.0017713789, 0.0010403617, 0.0018457752, 0.0016642675, 0.0014060676, 0.0014909238, 0.0016226487, 0.0021035012, 0.0019076108, 0.0012787438, 0.0019213124, 0.001625817, 0.0013724047, 0.0025137467, 0.0012180802, 0.0023806451, 0.0021727348, 0.0021428147, 0.0008069537]"
1,per:alternate_names,"[0.030986594, 0.0035298883, 0.0034108975, 0.0043366663, 0.34056455, 0.0072622616, 0.008647814, 0.002514055, 0.004716072, 0.0040613194, 0.0035237616, 0.005025559, 0.50895613, 0.0030900128, 0.003669647, 0.0045192004, 0.0027508212, 0.009506058, 0.0038328671, 0.0027889262, 0.0048851506, 0.007436633, 0.0033164532, 0.0038614168, 0.003994762, 0.003617388, 0.0050392253, 0.0045306426, 0.0022738383, 0.0033514306]"
2,no_relation,"[0.94038945, 0.0022609555, 0.0024043543, 0.002431927, 0.0018158254, 0.0027004692, 0.0010241412, 0.0012405975, 0.0016715172, 0.0020933927, 0.0026687481, 0.0019824794, 0.0025725248, 0.0024188596, 0.0014132124, 0.0017635488, 0.0017903004, 0.002186573, 0.0014280123, 0.0019547953, 0.0015053952, 0.0021828092, 0.00295995, 0.0020609698, 0.0022267825, 0.0023491527, 0.0023468672, 0.002406391, 0.0018396002, 0.0019104485]"
3,no_relation,"[0.73563457, 0.004303239, 0.0025990736, 0.0023272487, 0.001009274, 0.0024231344, 0.0014773436, 0.0013561342, 0.0014677445, 0.00185964, 0.0049371915, 0.0041690604, 0.0029695362, 0.0052879048, 0.1976007, 0.0018812022, 0.0014083327, 0.0017003457, 0.0016123609, 0.0013182604, 0.0008935952, 0.0036869312, 0.0026436828, 0.0017018626, 0.0031232592, 0.001684492, 0.0017234145, 0.0027199795, 0.0024267954, 0.0020537025]"
4,no_relation,"[0.76380914, 0.14090899, 0.001751974, 0.0033345174, 0.001460431, 0.002076165, 0.0023939032, 0.0019686245, 0.0013879903, 0.0022042852, 0.002775454, 0.004091974, 0.0024653554, 0.002866969, 0.030958818, 0.0023716, 0.0019627328, 0.002128133, 0.0018979087, 0.0024290949, 0.0023209862, 0.0036317536, 0.0023893802, 0.0020243567, 0.0027037694, 0.0022449286, 0.0020984858, 0.0019141173, 0.0036760638, 0.0017520576]"
5,no_relation,"[0.89638144, 0.020988027, 0.0059510367, 0.004578648, 0.001054158, 0.004609292, 0.0038750882, 0.005073738, 0.0015361251, 0.0028905068, 0.0025300721, 0.0018210997, 0.0015446858, 0.002185631, 0.0035938357, 0.0043831826, 0.0018857658, 0.002327977, 0.001479549, 0.004374611, 0.008015713, 0.0018312269, 0.0022684818, 0.0016529901, 0.0035538399, 0.0017329648, 0.0022509487, 0.0019319376, 0.00236146, 0.0013361094]"
6,per:employee_of,"[0.0014388023, 0.0025672857, 0.0017127418, 0.0026228938, 0.0042254548, 0.0023512433, 0.9294028, 0.0024595177, 0.0026791021, 0.0023419382, 0.0022784846, 0.0030822004, 0.0028237286, 0.0028411879, 0.0027150044, 0.0025890465, 0.002049551, 0.0022301476, 0.0029225163, 0.0021565307, 0.0014873848, 0.002690623, 0.0023248468, 0.002299659, 0.002369839, 0.002603422, 0.0018809229, 0.0024382188, 0.0019193325, 0.0024954788]"
7,per:spouse,"[0.0022188358, 0.0024401932, 0.0021812236, 0.0023818167, 0.002986916, 0.0021643236, 0.0025287683, 0.0019711382, 0.0023310303, 0.0024014225, 0.0020763602, 0.0021776862, 0.0028562779, 0.0012429939, 0.003088482, 0.0015105776, 0.0016399762, 0.9350445, 0.0023213062, 0.0025683774, 0.002190517, 0.0018512768, 0.0022052038, 0.0027468635, 0.0024707867, 0.0021376638, 0.0021671318, 0.0020319582, 0.001904535, 0.0021617555]"
8,org:members,"[0.032735933, 0.002410932, 0.9203997, 0.0029133996, 0.0014102407, 0.003194746, 0.0008790027, 0.003012428, 0.00089802674, 0.0017098986, 0.0010867658, 0.0017379622, 0.0015982063, 0.0026156933, 0.0018060491, 0.00078966917, 0.001308994, 0.0016135833, 0.0014438186, 0.0014684825, 0.0021508199, 0.0019900352, 0.0018433045, 0.000864699, 0.0018996835, 0.0011888188, 0.0011065142, 0.0012467027, 0.0015709765, 0.0011048561]"
9,org:top_members/employees,"[0.020882156, 0.8749044, 0.003944556, 0.0042120893, 0.0033256256, 0.0061160647, 0.0040515857, 0.0032686116, 0.0014772948, 0.0066442676, 0.0038255744, 0.0019112346, 0.014932056, 0.0019947046, 0.0026553029, 0.004896579, 0.0028422032, 0.002198447, 0.002305995, 0.0023133936, 0.0048816237, 0.0024364826, 0.0034684213, 0.002470635, 0.0034340061, 0.0023000373, 0.003231537, 0.002222891, 0.004431692, 0.0024205828]"
10,no_relation,"[0.90501857, 0.0022112885, 0.0015367137, 0.0018188811, 0.0028234208, 0.002156418, 0.0067284773, 0.0012093906, 0.006791543, 0.0018393617, 0.0018180512, 0.0016783184, 0.0051506828, 0.001041793, 0.030008629, 0.0018753894, 0.001135685, 0.0018180434, 0.0018873245, 0.0016558187, 0.0011115464, 0.0018722524, 0.0014499731, 0.0021044116, 0.0026334084, 0.0025224742, 0.0016284025, 0.0019323353, 0.0025252036, 0.0020161653]"
11,org:dissolved,"[0.05243126, 0.0022824379, 0.00091368245, 0.0030659495, 0.0012098089, 0.001217295, 0.00086121715, 0.0011402828, 0.0007152748, 0.0026765477, 0.0024104211, 0.0011933788, 0.0015200502, 0.0019614631, 0.0008522795, 0.0021412047, 0.0032687027, 0.0014323352, 0.002248916, 0.0028018686, 0.00090048625, 0.0018475181, 0.89519936, 0.002011325, 0.0034409203, 0.0010226733, 0.0017203101, 0.0029391095, 0.0028942728, 0.0016796581]"
12,no_relation,"[0.55706805, 0.013219197, 0.013083776, 0.34353217, 0.00091618014, 0.004072416, 0.0018117675, 0.0028855635, 0.007236928, 0.003829105, 0.004003628, 0.0025631958, 0.0022103284, 0.0030384557, 0.002200967, 0.0019998346, 0.0026138825, 0.0032062032, 0.0020701464, 0.00368703, 0.0024687806, 0.0023862862, 0.002634745, 0.0016213096, 0.0030012915, 0.0028921717, 0.0029870768, 0.0026016925, 0.0028342688, 0.0013236181]"
13,no_relation,"[0.9470779, 0.00057086855, 0.0013244161, 0.0015995571, 0.0018278938, 0.001554349, 0.0041188747, 0.0007314557, 0.0017851157, 0.0012056796, 0.0020349687, 0.004270355, 0.0015605674, 0.0017982125, 0.0059511606, 0.0019058728, 0.0017391274, 0.0008730487, 0.0012698144, 0.00096763566, 0.00069255166, 0.0019195837, 0.0016582982, 0.0016419477, 0.0017608977, 0.0016111957, 0.0013593123, 0.0017934171, 0.0010852927, 0.002310758]"
14,no_relation,"[0.8944838, 0.0016743133, 0.003702149, 0.0015245493, 0.0021890926, 0.0019852638, 0.0041379347, 0.0028096233, 0.0021290078, 0.002059968, 0.0029156783, 0.009806436, 0.0013041062, 0.0034278552, 0.0016176824, 0.00407236, 0.0016063545, 0.001439655, 0.00087326486, 0.0032322884, 0.0024926267, 0.0018253602, 0.0027526484, 0.0022678357, 0.007407551, 0.0015662556, 0.0036885375, 0.026401041, 0.002232869, 0.002373867]"
15,per:colleagues,"[0.3269508, 0.0032350274, 0.0014600739, 0.0021381085, 0.0015165441, 0.0022868689, 0.0021953774, 0.0014233564, 0.0013510059, 0.0018877181, 0.0019893919, 0.0033029295, 0.0020468994, 0.0016723608, 0.61648387, 0.0012911572, 0.0019286416, 0.0012047666, 0.001768542, 0.0015569665, 0.0017450306, 0.0025316305, 0.0023830256, 0.0020981128, 0.0028756058, 0.002107869, 0.0016990029, 0.0023306638, 0.0027221832, 0.0018164502]"
16,per:alternate_names,"[0.0035898008, 0.002039373, 0.0020614853, 0.002191834, 0.003706207, 0.0025046547, 0.0028473225, 0.0021208962, 0.0022534684, 0.00251651, 0.0025325033, 0.0026615548, 0.93056697, 0.0018145123, 0.0031061447, 0.0017035608, 0.0018522087, 0.0017329527, 0.0020302462, 0.0021868802, 0.0022742865, 0.0025292546, 0.0019631842, 0.0024511337, 0.0026094771, 0.002230489, 0.0023454553, 0.0029276127, 0.002241569, 0.0024084435]"
17,no_relation,"[0.9235658, 0.001062705, 0.0010962496, 0.0019361742, 0.0011524359, 0.001668344, 0.0010241173, 0.0010421568, 0.0011189949, 0.0015498538, 0.0041240887, 0.0016666178, 0.0009063733, 0.007316493, 0.00200416, 0.0017433587, 0.0012191812, 0.0013011819, 0.0010930025, 0.001544964, 0.0014499588, 0.0031434058, 0.0103577, 0.0015287641, 0.017723843, 0.0011856658, 0.0013631991, 0.0017416271, 0.0015167963, 0.0018526639]"
18,no_relation,"[0.6400047, 0.0017924435, 0.006825372, 0.0023345617, 0.001552398, 0.0020958805, 0.0071793217, 0.005351967, 0.0024184731, 0.002118321, 0.0022091996, 0.2641442, 0.0025797954, 0.0011567422, 0.008428587, 0.0060669705, 0.0020471895, 0.0036737642, 0.0021400864, 0.0012832213, 0.0013593186, 0.002517299, 0.0027455834, 0.0018083864, 0.0027945896, 0.0015226121, 0.0047340924, 0.011986418, 0.0021919687, 0.002936456]"
19,org:product,"[0.011004112, 0.0047923787, 0.0028057657, 0.9189989, 0.0008546276, 0.0010246792, 0.0020392428, 0.001970344, 0.0068673226, 0.0019778982, 0.0028794021, 0.0026447636, 0.002245347, 0.002801766, 0.0028606735, 0.0027161185, 0.0022738313, 0.001587733, 0.0020284432, 0.0023040047, 0.0011458719, 0.0022109472, 0.002409626, 0.0017188268, 0.0029467759, 0.0015007731, 0.002499246, 0.0022425896, 0.0054382137, 0.0012098083]"
20,no_relation,"[0.77508664, 0.0022975625, 0.003239741, 0.0028331676, 0.0014453295, 0.0030789857, 0.0013637401, 0.0017073181, 0.0018418287, 0.0023844312, 0.0066105756, 0.0032695928, 0.001396778, 0.009792571, 0.074478015, 0.0019795077, 0.0022498847, 0.0720624, 0.0023599735, 0.0019251524, 0.0015814375, 0.005292456, 0.0027093457, 0.0023096278, 0.0022076066, 0.0025698645, 0.0025666216, 0.00274225, 0.003406872, 0.0032107625]"
21,org:top_members/employees,"[0.000986871, 0.94072556, 0.0016733725, 0.0021030367, 0.002557613, 0.0026158006, 0.0019361513, 0.0018769302, 0.0020151124, 0.0021083031, 0.0020817018, 0.0020398304, 0.0017054534, 0.0019833725, 0.0019475616, 0.0021833843, 0.0022303984, 0.0020695133, 0.0021588877, 0.0018775606, 0.0019013601, 0.002156189, 0.0020227367, 0.0017177544, 0.002082637, 0.0023355042, 0.0021151414, 0.0021527372, 0.0024957547, 0.0021439162]"
22,org:top_members/employees,"[0.12463959, 0.46455166, 0.008129516, 0.012493443, 0.010542886, 0.0076016188, 0.0039722794, 0.007916372, 0.003921109, 0.012386185, 0.008155161, 0.0035179914, 0.006604814, 0.010731249, 0.0036607324, 0.0075196563, 0.010463214, 0.005555508, 0.006907209, 0.0064913593, 0.009130041, 0.008054222, 0.006574536, 0.21862245, 0.004738923, 0.005336279, 0.0054102093, 0.005902516, 0.005527182, 0.0049421107]"
23,per:employee_of,"[0.0016550155, 0.0040937327, 0.0024725574, 0.0031935794, 0.007608375, 0.0030357582, 0.8787949, 0.0033982298, 0.0046409797, 0.0028947908, 0.0026142993, 0.017703522, 0.0038913065, 0.0033467512, 0.004547874, 0.007714891, 0.0036864842, 0.0035471765, 0.0032189628, 0.0027543388, 0.0030824896, 0.0034278724, 0.0033093286, 0.0047046817, 0.0030376825, 0.0030753664, 0.0033468949, 0.0048315516, 0.0017789113, 0.0045917337]"
24,no_relation,"[0.91022044, 0.004709418, 0.010024109, 0.0023844761, 0.0019846752, 0.0023028115, 0.0012042986, 0.002357377, 0.0015586588, 0.0029007918, 0.002026507, 0.0016589961, 0.0022403144, 0.0022498488, 0.0014477255, 0.0016533937, 0.0018101799, 0.0017711313, 0.001897852, 0.00235329, 0.0084796045, 0.0021280572, 0.0024021259, 0.014685855, 0.0024022805, 0.0015524644, 0.0024590485, 0.003028874, 0.0022827585, 0.0018225661]"
