id,pred_label,probs
0,org:product,"[0.03781096, 0.004545602, 0.06766913, 0.7881657, 0.002573068, 0.021334667, 0.0020888273, 0.00074807456, 0.00758856, 0.0032384002, 0.003240773, 0.00286067, 0.0024159935, 0.003039226, 0.0032297147, 0.002109326, 0.0028176953, 0.0029043008, 0.0027330047, 0.004019936, 0.010151866, 0.0027807916, 0.0014906324, 0.0022829536, 0.0025970503, 0.0027031435, 0.0025024416, 0.003217909, 0.0040228814, 0.0031166205]"
1,per:alternate_names,"[0.025313338, 0.0031467513, 0.00403755, 0.0061374884, 0.119589604, 0.0126231285, 0.0026330631, 0.003977866, 0.010567638, 0.0037716893, 0.0059436676, 0.0040218094, 0.7254559, 0.0037168423, 0.002519858, 0.003607768, 0.008166038, 0.004195314, 0.006489507, 0.003941133, 0.0034041111, 0.007110383, 0.0038077726, 0.0034933556, 0.003356248, 0.0034729466, 0.004209678, 0.003760655, 0.0037920016, 0.00373686]"
2,no_relation,"[0.9135185, 0.0024239994, 0.0020189094, 0.0031571526, 0.0030287078, 0.0022588645, 0.0022189629, 0.003111812, 0.0029639702, 0.002715745, 0.003752531, 0.0021376058, 0.0029439575, 0.0028710256, 0.0016206559, 0.0021564763, 0.003357286, 0.0026104313, 0.004761047, 0.002215174, 0.0037079072, 0.002810516, 0.007872671, 0.0027180666, 0.0036880448, 0.0026110688, 0.0024681902, 0.0028572155, 0.0024881558, 0.0029353453]"
3,no_relation,"[0.8378137, 0.0024571659, 0.0029437158, 0.0023475082, 0.0025832737, 0.002540121, 0.0016589524, 0.0028323266, 0.002160515, 0.0019690932, 0.02468959, 0.0024691932, 0.0020505344, 0.02466549, 0.038277347, 0.0023088574, 0.0049575563, 0.0051954743, 0.0028048018, 0.0021626258, 0.0028413304, 0.007746197, 0.0024776473, 0.0029151086, 0.0035248871, 0.002309985, 0.0017963848, 0.002378081, 0.0028748228, 0.0022476772]"
4,no_relation,"[0.7264947, 0.19100389, 0.002279762, 0.0026156749, 0.0033328636, 0.0033032962, 0.0018264815, 0.0032960456, 0.0027566398, 0.0025173132, 0.0034390797, 0.0027006827, 0.0022323949, 0.0026646613, 0.00493468, 0.0015320552, 0.0033479508, 0.0028385953, 0.0024518063, 0.0049413107, 0.003055795, 0.0026080234, 0.0027505893, 0.0028615575, 0.0027165539, 0.003384522, 0.0031547213, 0.002806895, 0.0033981835, 0.0027532768]"
5,no_relation,"[0.8934032, 0.014440517, 0.005071574, 0.002408838, 0.0011859287, 0.0035108333, 0.0018278554, 0.0029199244, 0.0019006688, 0.0018074426, 0.0015672692, 0.0013063094, 0.0015974008, 0.0018171767, 0.0032240818, 0.0019048499, 0.0015482538, 0.0022193962, 0.0014097013, 0.003345565, 0.033509694, 0.0015153454, 0.0020262175, 0.0023276114, 0.0014976911, 0.0019962655, 0.0022571, 0.001994317, 0.0026744897, 0.0017846416]"
6,per:employee_of,"[0.003295922, 0.0050917547, 0.002987812, 0.0031549882, 0.0037843327, 0.0027504864, 0.90919447, 0.0033724352, 0.0038270722, 0.0029400545, 0.0034494617, 0.0029193123, 0.0026769503, 0.0029043832, 0.0030333817, 0.0021673308, 0.0028530792, 0.0030609071, 0.0031696572, 0.002697287, 0.0034786388, 0.0025153758, 0.0031465266, 0.0025700019, 0.0037728013, 0.0032392829, 0.002844733, 0.003156529, 0.0027869875, 0.0031580706]"
7,per:spouse,"[0.008251031, 0.003449633, 0.0049468027, 0.003075667, 0.0035219674, 0.0042991685, 0.003246966, 0.0035852995, 0.0033820851, 0.0035547945, 0.0044307685, 0.0040290933, 0.0023307218, 0.0032272083, 0.003338605, 0.0037601148, 0.0031632434, 0.8928514, 0.0036743572, 0.0035305764, 0.0039156326, 0.0017085263, 0.004181164, 0.003970988, 0.003184164, 0.0032772294, 0.0034546899, 0.0033029327, 0.0041709687, 0.003184164]"
8,org:members,"[0.030534444, 0.0041647977, 0.8958397, 0.002262151, 0.0022871408, 0.0031686043, 0.0029363886, 0.011310044, 0.0017626256, 0.0032691867, 0.0023666662, 0.0023637787, 0.0023390935, 0.0027507478, 0.0017540399, 0.0019567728, 0.0022011334, 0.0021914816, 0.0018328405, 0.002051682, 0.0019377569, 0.002297214, 0.0016111701, 0.0030585835, 0.002051682, 0.0020267891, 0.0018553514, 0.0018436112, 0.0018864099, 0.0020880653]"
9,org:top_members/employees,"[0.042906262, 0.8223308, 0.014038876, 0.007925242, 0.0022245287, 0.032010023, 0.0016882055, 0.002854957, 0.002724219, 0.006124153, 0.0043663285, 0.0030771627, 0.006323184, 0.0021185186, 0.0030124923, 0.002633965, 0.003535745, 0.00270566, 0.002091793, 0.0029470217, 0.0031141955, 0.0033928296, 0.0021911103, 0.0028521705, 0.0032852334, 0.0026020077, 0.0030301954, 0.0035975678, 0.005225811, 0.0030696592]"
