id,pred_label,probs
0,no_relation,"[0.41247216, 0.007918419, 0.19719113, 0.35647994, 0.0006865356, 0.0009992513, 0.00040043777, 0.006199627, 0.0005867609, 0.00056144124, 0.0003768738, 0.00055521633, 0.0002885471, 0.0005976696, 0.0002907331, 0.0002469549, 0.0005514925, 0.0005591535, 0.0011267567, 0.0020835502, 0.0037586093, 0.00030200323, 0.0009311612, 0.00088527147, 0.00042218014, 0.00070184615, 0.0010500519, 0.00077454967, 0.00046124606, 0.00054035423]"
1,per:alternate_names,"[0.003045448, 0.00040315685, 0.00017025929, 0.00028038822, 0.123766735, 0.0006748579, 0.0016316024, 0.00070890813, 0.0006576411, 0.0004972198, 0.00016317837, 0.00033546734, 0.86229414, 0.00014229644, 0.000105586616, 0.00051498966, 0.0006627836, 0.0008657929, 0.00024617402, 0.00021356478, 0.00017986582, 0.00056758727, 0.00017680762, 0.0002982185, 0.00029156596, 0.00036771272, 0.00028364276, 0.00010316628, 0.0001695777, 0.00018148929]"
2,no_relation,"[0.9976997, 0.00011837596, 0.00023156694, 3.7261438e-05, 1.6961902e-05, 5.947607e-05, 3.457882e-05, 0.00021495362, 1.0068118e-05, 1.1293039e-05, 1.4674585e-05, 2.1857562e-05, 1.0882764e-05, 4.0901952e-05, 1.503868e-05, 2.466648e-05, 1.3047105e-05, 9.263967e-06, 2.6245412e-05, 7.156492e-05, 0.0011098108, 3.399306e-05, 6.4728236e-05, 2.1637576e-05, 1.7158834e-05, 1.8038725e-05, 1.4564581e-05, 1.2552497e-05, 1.4510745e-05, 1.0668314e-05]"
3,no_relation,"[0.9869949, 0.00065517524, 0.00011269298, 6.0810933e-05, 4.096689e-05, 3.505585e-05, 0.00023768807, 0.00010091103, 7.1707065e-05, 2.968259e-05, 0.00033010138, 0.00015990192, 8.289055e-05, 0.0006551712, 0.009043562, 0.0004380707, 7.68599e-05, 9.801035e-05, 5.443036e-05, 0.0001377806, 0.00011799056, 0.0001731579, 4.5555444e-05, 2.522143e-05, 2.6240048e-05, 3.0885032e-05, 2.3657576e-05, 5.173483e-05, 5.3880583e-05, 3.5353074e-05]"
4,org:top_members/employees,"[0.43878573, 0.55392647, 0.00044166486, 0.00018459704, 0.00014267427, 0.00044072594, 0.000574567, 0.0006079913, 9.4510164e-05, 0.00016945023, 0.00011567166, 0.00014197957, 0.00014869275, 9.3950664e-05, 0.00038741628, 0.00010840771, 9.342718e-05, 0.00013358572, 0.00012862652, 0.0007000896, 0.0014155903, 0.000107745174, 0.00013930222, 9.960078e-05, 9.6867836e-05, 8.756105e-05, 8.19661e-05, 5.4077744e-05, 0.00040721978, 8.985386e-05]"
5,no_relation,"[0.5704652, 0.060235552, 0.043791015, 0.0007598716, 0.0006259365, 0.0016816058, 0.0008549249, 0.03296709, 0.00054824905, 0.0008415533, 0.000615651, 0.00042851776, 0.00053715217, 0.0007399661, 0.00075105793, 0.0007539662, 0.00032086787, 0.00074915896, 0.0007221527, 0.018562932, 0.25708422, 0.0009278932, 0.00095289305, 0.00069781335, 0.0005438951, 0.00040842663, 0.00067693525, 0.00043061646, 0.00093775487, 0.00038714166]"
6,per:employee_of,"[0.0002450759, 3.6230565e-05, 2.9192812e-05, 1.4279638e-05, 0.00042784287, 2.7447342e-05, 0.99845374, 9.451181e-06, 4.789477e-05, 1.796299e-05, 2.000544e-05, 5.2107614e-05, 4.4464377e-05, 2.7629025e-05, 3.358278e-05, 0.00010279017, 3.7940743e-05, 3.244913e-05, 3.6912465e-05, 1.4840787e-05, 5.8072506e-05, 1.1742481e-05, 1.6118267e-05, 3.9414263e-05, 1.8354609e-05, 1.7861947e-05, 2.1921407e-05, 1.1983482e-05, 1.7402192e-05, 7.524076e-05]"
7,per:spouse,"[0.00055922446, 6.549531e-05, 4.3801756e-05, 5.236183e-05, 9.727162e-05, 4.3820724e-05, 0.000101137135, 3.1506224e-05, 2.4811821e-05, 4.9235477e-05, 0.00012686939, 3.518486e-05, 9.608101e-05, 5.0381866e-05, 0.00013791295, 2.1611702e-05, 6.191877e-05, 0.9979037, 5.677333e-05, 3.5191977e-05, 5.7754332e-05, 7.206505e-05, 6.3505606e-05, 2.9416506e-05, 2.301348e-05, 4.0242197e-05, 2.5660003e-05, 2.8122557e-05, 2.9086106e-05, 3.678582e-05]"
8,org:members,"[0.042654425, 0.00119742, 0.8682872, 0.0010254034, 0.00021022902, 0.0008414889, 0.00016693457, 0.076313905, 0.00020384065, 0.00043185422, 0.00027446006, 0.00035446777, 0.000536617, 0.00038047068, 0.00013219283, 0.00013423499, 0.0002426927, 0.00018871766, 0.000178744, 0.0008436774, 0.003060406, 0.00026284144, 0.00033294197, 0.00025437228, 0.0002568972, 0.00015357585, 0.00030417895, 0.00021006267, 0.00026401714, 0.00030180303]"
9,org:top_members/employees,"[0.049390417, 0.92663795, 0.0038098423, 0.00060955295, 0.0003553806, 0.002484599, 0.00042978404, 0.006529126, 0.00011663726, 0.0006694383, 0.00022516496, 0.00021739422, 0.0007107456, 0.00014706934, 5.7180532e-05, 0.00018309063, 0.00014103866, 0.00015222005, 0.000109780696, 0.0006734969, 0.0037874253, 0.00022821662, 0.00020223117, 0.000485141, 0.00027662344, 0.0001533194, 0.00029751495, 0.00010739883, 0.00067064224, 0.00014161364]"
