id,pred_label,probs
0,org:members,"[0.019197777, 0.0046407348, 0.7896512, 0.15488534, 0.0003251949, 0.009979147, 0.00064735924, 0.004839758, 0.0016254755, 0.0005194063, 0.0012180195, 0.00041633705, 0.00032329504, 0.00027788244, 6.803156e-05, 0.00020489769, 0.0002564978, 0.00023791769, 0.0008243545, 0.0027873935, 0.0018613433, 0.00016706937, 0.0003798203, 0.00059405016, 0.00052681356, 0.0005676776, 0.0004464464, 0.00046787178, 0.0014233137, 0.0006395049]"
1,per:title,"[0.060036737, 6.733924e-05, 0.00020064559, 0.0006822643, 0.7970315, 0.0008866959, 0.0054124766, 0.0003626133, 0.003071913, 0.00052656984, 0.00080892426, 0.0011325103, 0.11986462, 0.00040511743, 0.00031259222, 0.0023970855, 0.0014833057, 0.0005811545, 0.00045504112, 0.00023850534, 0.00019033882, 0.0009295329, 0.00021547162, 0.00030955442, 0.0004799157, 0.00050221116, 0.0006847674, 0.00021296131, 0.00014751397, 0.0003701265]"
2,no_relation,"[0.9980957, 0.00011599485, 4.8995546e-05, 7.4336305e-05, 4.439366e-05, 7.257887e-05, 2.3031125e-05, 4.578609e-05, 2.2311635e-05, 5.1146708e-05, 2.0827218e-05, 1.8290428e-05, 2.320043e-05, 2.8732764e-05, 2.9906538e-05, 2.5012261e-05, 2.3098699e-05, 1.7215858e-05, 0.0004349901, 6.588647e-05, 0.00021365994, 2.9688294e-05, 0.0003213686, 1.2101046e-05, 3.3971384e-05, 5.4768683e-05, 8.203985e-06, 3.7414145e-06, 2.809459e-05, 1.2931913e-05]"
3,no_relation,"[0.9334981, 0.0004003342, 0.00028764675, 0.00014073652, 0.00044736892, 0.000106026215, 0.0003673673, 0.00014605728, 0.000149667, 0.00011758977, 0.0054754093, 0.00045943388, 0.00072186504, 0.009497686, 0.03778483, 0.00051166036, 0.0012672993, 0.0041940445, 8.10553e-05, 0.00015054655, 0.00019577531, 0.0022252658, 0.00021818996, 0.00016025596, 0.00058070786, 0.00017059158, 0.000109498724, 0.00021755166, 0.00021904394, 9.834592e-05]"
4,no_relation,"[0.62059313, 0.36625576, 0.000658712, 0.00035901094, 0.00013480922, 0.0003857271, 0.00026010544, 0.001051078, 6.226501e-05, 0.00025657352, 0.00016040288, 0.00017841888, 6.058552e-05, 0.00022864738, 0.0021651129, 0.00010316013, 0.00011885259, 0.00032275953, 0.00016103071, 0.0008916029, 0.0024248115, 0.00034686268, 0.00047248736, 0.000121433695, 0.00011632636, 0.00014127886, 7.688702e-05, 7.802159e-05, 0.0017094034, 0.00010468238]"
5,no_relation,"[0.7787712, 0.0041917064, 0.003922392, 0.000369681, 8.093105e-05, 0.0028362502, 0.0002221523, 0.018458588, 8.940771e-05, 0.00041625285, 0.00015493591, 0.00019547521, 7.058932e-05, 0.00034796214, 0.0004990415, 0.00035603993, 0.00017368954, 0.00020950957, 0.00016736216, 0.0016479205, 0.18497436, 0.0003237035, 0.0005623903, 0.00011435421, 8.871193e-05, 0.00013447927, 9.3060145e-05, 9.3607014e-05, 0.00031451113, 0.00011960834]"
6,per:employee_of,"[0.0006188937, 0.00019088364, 2.664032e-05, 4.896317e-05, 0.00061648095, 3.061794e-05, 0.9971927, 1.8652507e-05, 0.00014436823, 1.8946239e-05, 4.8180536e-05, 7.9039695e-05, 0.000111749934, 1.5017011e-05, 3.4576282e-05, 0.00013735413, 3.1191346e-05, 3.493265e-05, 1.7522409e-05, 3.9641905e-05, 5.2915966e-05, 4.884378e-05, 2.8917791e-05, 8.0606e-05, 3.0261226e-05, 4.919082e-05, 2.4279985e-05, 3.584847e-05, 4.360194e-05, 0.00014924217]"
7,per:spouse,"[0.0016368123, 0.00021533298, 7.297774e-05, 5.846771e-05, 0.00013046265, 0.00019000749, 0.00016982335, 6.551271e-05, 6.528917e-05, 5.639282e-05, 0.0001867195, 0.00010050653, 0.00019810784, 8.0857906e-05, 0.00027541505, 9.430196e-05, 0.00016351203, 0.9951633, 6.605878e-05, 5.2512583e-05, 0.00010743361, 8.5737236e-05, 8.742825e-05, 9.682151e-05, 0.0001411499, 6.739457e-05, 4.109702e-05, 0.00014128779, 5.6724217e-05, 0.0001325495]"
8,org:members,"[0.053075038, 0.0028101283, 0.7241423, 0.0018701218, 0.0003082849, 0.001011815, 0.0009347484, 0.19874431, 0.00033268507, 0.0014114697, 0.00165805, 0.0031967554, 0.00025014483, 0.0005858796, 0.0001255353, 0.00049553294, 0.0002728587, 0.00022620783, 0.00044855193, 0.0014696684, 0.0013890781, 0.00021167412, 0.00048618577, 0.00059134024, 0.00072558736, 0.00029618535, 0.0005784887, 0.0014194178, 0.0005125126, 0.00041932307]"
9,org:top_members/employees,"[0.02734387, 0.96390456, 0.0022798674, 0.000553276, 6.87117e-05, 0.0012714181, 0.0001006607, 0.001011685, 2.669849e-05, 0.00027377447, 9.400951e-05, 0.00014789772, 0.00018036946, 8.353218e-05, 7.590851e-05, 7.473165e-05, 5.4996148e-05, 7.57604e-05, 4.801536e-05, 0.00042732983, 0.00024060812, 5.5481643e-05, 0.00013354924, 8.088314e-05, 4.9346396e-05, 5.146268e-05, 6.8110436e-05, 6.379665e-05, 0.0011187402, 4.110984e-05]"
10,no_relation,"[0.91776794, 0.0059702466, 0.00015817219, 0.00050071045, 0.0028394894, 0.0004003724, 0.015515917, 0.0001321578, 0.0030344508, 0.0003033998, 0.00035749233, 0.00027732985, 0.020276133, 0.00024932626, 0.02533282, 0.0005324832, 0.00036830045, 0.00073982135, 0.00013358511, 0.00027624864, 9.898162e-05, 0.000387108, 0.00028279968, 0.00032391498, 0.0002822479, 0.0003974507, 0.00013661952, 0.00023977473, 0.0024912008, 0.00019360744]"
11,org:dissolved,"[0.09731698, 0.00066987495, 0.00040358098, 0.00022244368, 0.00028955517, 0.0007845505, 0.00016306144, 0.0009947354, 0.00017961342, 0.00070543756, 0.0008595067, 0.00028092068, 0.00023153084, 0.0006506138, 0.00027819068, 0.00036053325, 0.000287723, 0.0002654514, 0.01266587, 0.00078747695, 0.0013142759, 0.00044205823, 0.87417966, 0.0002736104, 0.0036323778, 0.00039829523, 0.00017122104, 0.00031507746, 0.00054947915, 0.00032619212]"
