id,pred_label,probs
0,org:product,"[0.03816129, 0.0040291683, 0.023911908, 0.880098, 0.0017203739, 0.0020635724, 0.002544186, 0.00090451195, 0.0064631426, 0.001994841, 0.004019821, 0.0019230328, 0.0019947684, 0.0021296644, 0.0009584257, 0.002197548, 0.0019213216, 0.002235063, 0.0012009979, 0.0015531556, 0.00066032214, 0.0028941, 0.0018194569, 0.0011997254, 0.0014566923, 0.002106606, 0.00185769, 0.0014765675, 0.0027347868, 0.0017693127]"
1,per:alternate_names,"[0.042600475, 0.0037076396, 0.0037927956, 0.009552764, 0.26995546, 0.00701925, 0.011341972, 0.003198065, 0.003096725, 0.0053770845, 0.0033237904, 0.0054273703, 0.5435487, 0.0030756078, 0.0026272116, 0.0062330673, 0.0055895722, 0.010117049, 0.004467553, 0.0035673403, 0.005030939, 0.008618034, 0.005898725, 0.004560925, 0.0047658007, 0.0046398435, 0.004525255, 0.004441304, 0.0040914994, 0.005808121]"
2,no_relation,"[0.91911954, 0.0030141103, 0.002082779, 0.0035932902, 0.0034245213, 0.002198906, 0.0021356344, 0.0022249566, 0.0028056833, 0.0024780158, 0.0030970504, 0.002788111, 0.0032047976, 0.0022986731, 0.0018060019, 0.0022902978, 0.0030839113, 0.0038627055, 0.0027816652, 0.0025409353, 0.0017911416, 0.0032352419, 0.0032924758, 0.0027954835, 0.0030214107, 0.0030607264, 0.0029777153, 0.002947587, 0.0031873141, 0.0028592884]"
3,no_relation,"[0.89532197, 0.004091008, 0.0033896812, 0.0022467491, 0.0018553005, 0.0019672087, 0.0012961914, 0.0013159243, 0.0018969688, 0.0017836746, 0.01169764, 0.0026022287, 0.002601148, 0.014406778, 0.015955891, 0.001981221, 0.001939722, 0.010900649, 0.0016592855, 0.0010305264, 0.001414039, 0.0047822157, 0.0013861126, 0.0018878233, 0.0018985289, 0.0013967443, 0.0015288097, 0.0017150592, 0.0019415318, 0.0021094512]"
4,no_relation,"[0.5387548, 0.3728674, 0.0035773376, 0.0031563572, 0.002764342, 0.0034644897, 0.0026941777, 0.0025553661, 0.0020744994, 0.0025100128, 0.003980641, 0.005220665, 0.0041550845, 0.002432709, 0.004011758, 0.003214983, 0.002674366, 0.0036074466, 0.0027846454, 0.0036966368, 0.003527932, 0.003089579, 0.0020542229, 0.0026630955, 0.0029002992, 0.0023094427, 0.0039101928, 0.0031061722, 0.0034525006, 0.002788806]"
5,no_relation,"[0.65167123, 0.046166304, 0.024500117, 0.008242018, 0.00365323, 0.004309574, 0.0028824848, 0.05046832, 0.0026644622, 0.0041535003, 0.002926871, 0.004181612, 0.003337382, 0.0023016431, 0.0043050023, 0.0055267126, 0.0020825206, 0.008801103, 0.003336809, 0.0138876615, 0.11031879, 0.004200371, 0.0064504044, 0.003426501, 0.0027217094, 0.004032462, 0.0046138824, 0.0041835387, 0.005831043, 0.0048227576]"
6,per:employee_of,"[0.0019607665, 0.0031680423, 0.0027511017, 0.0030552992, 0.0030436155, 0.0024454587, 0.9174036, 0.0021657846, 0.0024637347, 0.002618786, 0.0027488268, 0.0033085474, 0.0026351893, 0.0031109354, 0.0033270621, 0.0035646968, 0.0033602219, 0.0025396636, 0.0034670555, 0.0021644786, 0.0017790769, 0.0028768966, 0.0035762126, 0.0024404647, 0.0031620688, 0.0027052786, 0.0036005871, 0.0026453505, 0.0018232615, 0.00408806]"
7,per:spouse,"[0.0023758265, 0.001965225, 0.002129047, 0.0022928494, 0.0019913774, 0.0018605896, 0.001832546, 0.0017967345, 0.0017959345, 0.0017509987, 0.0015576988, 0.0022895313, 0.0013433724, 0.001526143, 0.0012577948, 0.0016804812, 0.0010921931, 0.94821644, 0.0016350509, 0.0017312601, 0.0016906742, 0.0015162759, 0.0016188555, 0.0016328864, 0.0018129742, 0.0020684982, 0.0020625768, 0.001766918, 0.0016407162, 0.0020684479]"
8,org:members,"[0.035169408, 0.0033150734, 0.8930888, 0.0039076256, 0.0020473518, 0.0026281686, 0.0011550909, 0.01391286, 0.001648643, 0.002923941, 0.0017132551, 0.0022173163, 0.0020387592, 0.0018979321, 0.0019378384, 0.00072083937, 0.0018164801, 0.001862241, 0.0011923821, 0.00182849, 0.0060983016, 0.0023008506, 0.0027028162, 0.0015250195, 0.002006453, 0.0020129578, 0.0015805145, 0.0015332839, 0.0023371114, 0.0008801625]"
9,org:top_members/employees,"[0.023957811, 0.861397, 0.0075507225, 0.0056635956, 0.0026009479, 0.00905625, 0.0048211655, 0.005166997, 0.0019928375, 0.0043976284, 0.00308228, 0.00202569, 0.009876737, 0.0027749357, 0.0017837532, 0.0024422915, 0.0028785598, 0.004389644, 0.0024181537, 0.0042849574, 0.005176736, 0.0024164375, 0.0033525128, 0.003957107, 0.0026840905, 0.0025885936, 0.003102811, 0.00299347, 0.008311492, 0.0028548327]"
10,no_relation,"[0.9220433, 0.0044770744, 0.0014600478, 0.0035568364, 0.0023200952, 0.0021575764, 0.0024463197, 0.0018843894, 0.014642611, 0.001603321, 0.0023006126, 0.001527599, 0.004960526, 0.0012253468, 0.003937609, 0.0014486974, 0.0017018948, 0.0041013574, 0.0016254641, 0.00093028747, 0.0014149123, 0.0021731737, 0.0016989314, 0.0020088414, 0.001224752, 0.0028978756, 0.0013980428, 0.0016533374, 0.003354525, 0.0018245203]"
11,org:dissolved,"[0.01294458, 0.0008663425, 0.0007723548, 0.0014614365, 0.0013908235, 0.0011046294, 0.0005091799, 0.0009395161, 0.0012258721, 0.0020813597, 0.00095093314, 0.001461741, 0.0014055228, 0.0012953371, 0.0016744813, 0.0009697677, 0.0017845411, 0.0016457383, 0.0024789416, 0.001617025, 0.00084947573, 0.0008337921, 0.94753224, 0.0028909096, 0.0037283394, 0.0006523329, 0.0012450318, 0.0014897471, 0.0012875324, 0.00091058074]"
12,no_relation,"[0.8083011, 0.009484355, 0.012727572, 0.072134525, 0.0011708611, 0.0048797606, 0.0017144339, 0.0020390437, 0.0060970024, 0.009265945, 0.0048618647, 0.0023401794, 0.0029537224, 0.0025872232, 0.0014191971, 0.0033710543, 0.0024517118, 0.0027231437, 0.002330807, 0.017691964, 0.0018362533, 0.0027161643, 0.0033541832, 0.002498529, 0.0022160504, 0.005486204, 0.0025506476, 0.0026140383, 0.0038127115, 0.0023696749]"
13,no_relation,"[0.9394852, 0.001611966, 0.0012874322, 0.0026314736, 0.0028123767, 0.0015059153, 0.0027905356, 0.0009431388, 0.0028366381, 0.0022489273, 0.0027177488, 0.0028914497, 0.0021849058, 0.0017520635, 0.001653776, 0.002746125, 0.002150269, 0.00228837, 0.0018461482, 0.0013404551, 0.0008368008, 0.0023872494, 0.0014441946, 0.0021843682, 0.0019265165, 0.002343017, 0.0024742377, 0.0021605745, 0.0018343888, 0.002683673]"
14,no_relation,"[0.83082134, 0.0025495933, 0.0015052676, 0.0015206846, 0.0021482098, 0.0019101036, 0.004798196, 0.0061564534, 0.00247313, 0.0025327203, 0.0020000834, 0.03320761, 0.002733184, 0.0023642797, 0.0023316485, 0.009236645, 0.003967539, 0.0037537047, 0.0018287171, 0.0023408704, 0.0012449638, 0.0018610802, 0.0032002786, 0.0024343196, 0.0068301945, 0.0022742227, 0.0056106867, 0.050912138, 0.001795405, 0.0036568167]"
15,no_relation,"[0.82250214, 0.0025536325, 0.0017174986, 0.001896728, 0.0020266022, 0.0023315726, 0.002100012, 0.0013823824, 0.002490615, 0.0021292674, 0.0022808125, 0.004459994, 0.002653949, 0.0024159604, 0.10859047, 0.0034566883, 0.002935303, 0.0039529377, 0.0026822395, 0.0014397072, 0.002058547, 0.0032740498, 0.0019114941, 0.00272251, 0.0019603136, 0.0020018837, 0.0029059828, 0.0025262996, 0.0024983892, 0.0021419406]"
16,per:alternate_names,"[0.0021805093, 0.0019052115, 0.0027099566, 0.0023470954, 0.001493794, 0.0018440065, 0.0019529078, 0.0022732986, 0.0019445668, 0.002573035, 0.0019252645, 0.002250392, 0.93593925, 0.002111943, 0.0024019168, 0.0019048925, 0.001798619, 0.002101689, 0.0024622548, 0.0023269167, 0.0024153718, 0.0023483732, 0.0022410287, 0.0020360209, 0.0027719273, 0.002433059, 0.00235467, 0.0025902248, 0.0019122597, 0.0024495125]"
17,no_relation,"[0.9190479, 0.0013292568, 0.0011177948, 0.0016370446, 0.0025002793, 0.002350117, 0.0017723939, 0.0017754594, 0.0019006764, 0.0017923076, 0.00450142, 0.0022411677, 0.0021544222, 0.005119759, 0.0015560266, 0.002989264, 0.0018276375, 0.0019568254, 0.0011524787, 0.0014051197, 0.0009919424, 0.0022982112, 0.0047752657, 0.0017098942, 0.021195168, 0.0019915933, 0.0017075085, 0.0016266364, 0.0014496841, 0.0021267238]"
18,no_relation,"[0.49108684, 0.0026686727, 0.006297836, 0.0017352465, 0.0028308851, 0.0037695274, 0.007097784, 0.0095592905, 0.00441936, 0.004430118, 0.0035418777, 0.36932373, 0.007452771, 0.0021852304, 0.0023700108, 0.0146289505, 0.0038049843, 0.006271217, 0.0027317542, 0.0015792886, 0.0019223444, 0.0037099556, 0.0031707748, 0.0029963958, 0.0027073694, 0.0037137894, 0.010842757, 0.016957244, 0.0027676742, 0.0034262792]"
19,org:product,"[0.0069096773, 0.0042612157, 0.0127813555, 0.9235106, 0.00090230716, 0.0015184475, 0.002001661, 0.0015631552, 0.003419519, 0.0016726553, 0.0038528498, 0.0019184023, 0.00216496, 0.002335977, 0.0014219361, 0.002260968, 0.0023750102, 0.0016586933, 0.001352756, 0.0019275901, 0.00079261704, 0.0022226006, 0.0021924372, 0.00094795786, 0.0022041467, 0.0024232403, 0.0018993053, 0.0017387376, 0.004126539, 0.001642654]"
20,per:spouse,"[0.031154307, 0.0020718535, 0.0030138546, 0.0020834533, 0.001696588, 0.0019084743, 0.002726916, 0.0019115225, 0.0020879158, 0.0019932191, 0.0037382236, 0.0034796854, 0.0014585985, 0.0034629423, 0.00129884, 0.0027870194, 0.0012433685, 0.90999293, 0.0018381387, 0.002010694, 0.0018770781, 0.0013545348, 0.0014889429, 0.0019403805, 0.0016171649, 0.0018714725, 0.002132506, 0.00210671, 0.0016808753, 0.0019718262]"
21,org:top_members/employees,"[0.0030222964, 0.9274455, 0.0026361765, 0.0022139149, 0.0021245517, 0.0023647025, 0.0016713706, 0.0023894531, 0.0026330147, 0.0023988243, 0.0025115907, 0.0026761598, 0.0026726923, 0.002817779, 0.002330179, 0.0027346087, 0.0022311225, 0.0025215987, 0.0024271475, 0.0020206496, 0.002502095, 0.0027483467, 0.0025779638, 0.0027758626, 0.0026825785, 0.0023372723, 0.0027347836, 0.0027575367, 0.0023083729, 0.0027319486]"
22,no_relation,"[0.5412983, 0.1316927, 0.050746836, 0.01646556, 0.033795226, 0.021163898, 0.0012467813, 0.008672641, 0.00614997, 0.03084438, 0.011255429, 0.003115824, 0.006865716, 0.0054890094, 0.004486645, 0.0029546116, 0.013887998, 0.0055738157, 0.005841404, 0.006225675, 0.0054923445, 0.0070670918, 0.006952207, 0.03434908, 0.004512183, 0.0034786605, 0.003665885, 0.0041888026, 0.017337054, 0.0051842295]"
23,per:employee_of,"[0.0027936928, 0.003596284, 0.002869657, 0.0024767946, 0.004687527, 0.0023900596, 0.87400335, 0.0018225089, 0.0036963678, 0.0040778895, 0.003805298, 0.020765932, 0.0026541597, 0.003492754, 0.0032406861, 0.014900526, 0.0034850943, 0.0027680343, 0.0033685982, 0.0020625482, 0.0026022529, 0.0026829017, 0.0037497568, 0.0046488177, 0.004048701, 0.0037612661, 0.005492141, 0.0037291746, 0.0014940831, 0.004833123]"
24,no_relation,"[0.7301106, 0.011030834, 0.028511161, 0.0052834414, 0.009690883, 0.005752809, 0.0027224524, 0.0073740277, 0.0036016782, 0.0046760147, 0.007909977, 0.0035315554, 0.0045972397, 0.0047257952, 0.0030990234, 0.0020006774, 0.0076487316, 0.0066671916, 0.00326847, 0.0044348594, 0.017648047, 0.0052531827, 0.0040832446, 0.08980777, 0.004332704, 0.003886944, 0.0040954007, 0.0036287562, 0.007403506, 0.0032231319]"
25,org:place_of_headquarters,"[0.2948592, 0.003283686, 0.0072537083, 0.002548797, 0.003737188, 0.0022157303, 0.0023404518, 0.5987461, 0.0030103081, 0.0032520304, 0.0036524425, 0.0122532295, 0.0032835763, 0.0025126224, 0.0022471272, 0.0010379903, 0.004240673, 0.003097161, 0.002900786, 0.0032753758, 0.011746476, 0.003205271, 0.0030242945, 0.0037118467, 0.003849549, 0.0026032252, 0.0022015392, 0.004532355, 0.0026442793, 0.002733038]"
26,no_relation,"[0.62493473, 0.04179834, 0.0113992095, 0.016935967, 0.18880804, 0.007835788, 0.0008914338, 0.009702522, 0.0026069817, 0.0043364153, 0.0051133656, 0.001554577, 0.004199588, 0.00396953, 0.0016362034, 0.0017145777, 0.0034367873, 0.004252925, 0.003064991, 0.0054177726, 0.017950902, 0.004642183, 0.0054462748, 0.0029519373, 0.004977608, 0.0035441902, 0.0029927276, 0.0036471798, 0.007183275, 0.003053889]"
27,no_relation,"[0.7088844, 0.003016434, 0.0884989, 0.006337015, 0.0026907215, 0.005929987, 0.0016627571, 0.10986239, 0.0020679694, 0.0042515965, 0.0032167607, 0.0066621252, 0.0026929409, 0.0033233692, 0.0018867516, 0.0026466209, 0.0030514451, 0.0032314337, 0.0025232735, 0.0045601777, 0.007026367, 0.0033096506, 0.0031790908, 0.0026943372, 0.0034597623, 0.0026916855, 0.0024963308, 0.0032005447, 0.003465394, 0.0014798186]"
28,no_relation,"[0.9475301, 0.00091340626, 0.0016643814, 0.0024875647, 0.004064123, 0.00090923323, 0.006232663, 0.00049172074, 0.0037680636, 0.0015274489, 0.0023740176, 0.0030141817, 0.0010990786, 0.0008373546, 0.0043022516, 0.0026702299, 0.0010853275, 0.001230592, 0.00094487076, 0.00076650776, 0.00048690336, 0.0016464189, 0.0010328161, 0.0010886111, 0.0009834289, 0.0010757076, 0.0016116475, 0.0012756698, 0.00076364726, 0.0021219891]"
29,no_relation,"[0.93037665, 0.0022253378, 0.006978789, 0.0027964236, 0.002308259, 0.0037275145, 0.0013354981, 0.001913259, 0.0016657911, 0.0020804477, 0.0034088069, 0.0016112177, 0.0016697794, 0.0018851162, 0.0017946755, 0.0014890311, 0.0023461455, 0.002483543, 0.001982277, 0.0018791505, 0.003667087, 0.0021553272, 0.002325529, 0.0047942316, 0.0019590997, 0.0015713684, 0.0016901279, 0.0020800945, 0.0023563749, 0.0014430534]"
30,no_relation,"[0.7334534, 0.00206498, 0.009303145, 0.0035225155, 0.0031344814, 0.0023018487, 0.0007989703, 0.12262817, 0.0025032198, 0.0042605433, 0.0028513714, 0.0026247054, 0.0021940235, 0.0024038393, 0.0030208346, 0.0010694086, 0.002647289, 0.002775886, 0.0034550165, 0.0028443725, 0.06628419, 0.0030722346, 0.0036712755, 0.0026146898, 0.002899477, 0.0022928498, 0.0028004881, 0.0025394736, 0.0023453557, 0.0016220972]"
31,org:place_of_headquarters,"[0.019887282, 0.0013569958, 0.0019972709, 0.0012803457, 0.0016711394, 0.0011035154, 0.0015390465, 0.899208, 0.0014947716, 0.0016023787, 0.0014540332, 0.0021266455, 0.0013405456, 0.0012423164, 0.0015246859, 0.0011971762, 0.0015156583, 0.0013984888, 0.0016187038, 0.0017588385, 0.04090356, 0.0011296468, 0.0016596455, 0.0013440801, 0.0017060657, 0.0014559384, 0.0012033524, 0.001427746, 0.0013267238, 0.0015254284]"
32,per:place_of_residence,"[0.051348843, 0.0020741937, 0.0035577621, 0.0024214848, 0.0044527478, 0.0036085232, 0.040910695, 0.005808962, 0.004024416, 0.0022405575, 0.00219675, 0.4773822, 0.04119882, 0.002781987, 0.0037429905, 0.24439976, 0.003093718, 0.0035271917, 0.0027986194, 0.0016167476, 0.0016339142, 0.0019085311, 0.0032093155, 0.004648548, 0.0025335026, 0.0032735795, 0.058601033, 0.01239055, 0.0038824596, 0.004731527]"
33,org:members,"[0.049184073, 0.0029418436, 0.89153415, 0.0038077729, 0.0017370307, 0.0016108286, 0.0020557563, 0.003574146, 0.002005046, 0.002352123, 0.0021019848, 0.0022727451, 0.0018420774, 0.002407699, 0.0018685146, 0.000770673, 0.002195996, 0.0019772013, 0.001207499, 0.0018128513, 0.0031608546, 0.0024567053, 0.0020819923, 0.0017907186, 0.001620733, 0.0021866804, 0.0019225858, 0.0015681431, 0.0031352264, 0.00081620057]"
34,no_relation,"[0.91696995, 0.023743901, 0.0025664917, 0.0042255158, 0.0025585054, 0.0038893768, 0.00049061264, 0.0026589166, 0.0009431409, 0.0032489614, 0.0018181639, 0.0012050685, 0.00147577, 0.00087368506, 0.0026581942, 0.0012056543, 0.0010205169, 0.0033911616, 0.001256647, 0.0020632483, 0.006109434, 0.0028089462, 0.00088599545, 0.0017894929, 0.0019737452, 0.0015374834, 0.0012100154, 0.0014792574, 0.0022993074, 0.0016428735]"
35,no_relation,"[0.7917326, 0.0021427786, 0.001856318, 0.0027877118, 0.11639446, 0.0030756516, 0.003714212, 0.0011228384, 0.0031742475, 0.0024519365, 0.0032083981, 0.005346935, 0.0035517558, 0.0021176364, 0.0021460261, 0.016428966, 0.0016716489, 0.0034697887, 0.0027628897, 0.0012931225, 0.0023233434, 0.003181069, 0.0033796732, 0.0026500416, 0.0027035824, 0.0025792583, 0.005071357, 0.002756543, 0.002924993, 0.0019801771]"
36,no_relation,"[0.63738143, 0.003815167, 0.006654632, 0.0056532877, 0.0096216425, 0.0034438586, 0.16716853, 0.0033934102, 0.016490541, 0.00435905, 0.004301014, 0.0053310264, 0.055269312, 0.0034330033, 0.0040533305, 0.010030865, 0.0044360827, 0.010522055, 0.0035917694, 0.003150672, 0.0024204405, 0.0030616298, 0.004769866, 0.002076863, 0.0033670734, 0.005055576, 0.005339394, 0.004721197, 0.0042874254, 0.002799811]"
37,org:product,"[0.012734361, 0.0026547774, 0.003319135, 0.93409723, 0.0014343647, 0.0011688743, 0.0012631647, 0.0010055965, 0.003078054, 0.001927772, 0.0028677557, 0.0017356128, 0.0019510764, 0.0015743405, 0.0016014982, 0.0019654077, 0.0026972797, 0.0019411591, 0.001378248, 0.001387205, 0.00071741495, 0.0026002782, 0.001495085, 0.0012601842, 0.002086104, 0.002249767, 0.0021191533, 0.001876782, 0.0018214195, 0.001990766]"
38,no_relation,"[0.9231617, 0.0043497584, 0.0014565871, 0.0023437028, 0.0023620902, 0.002028657, 0.0018941929, 0.0015728313, 0.0023345086, 0.001484236, 0.0043398533, 0.002903475, 0.0031579714, 0.004739671, 0.005205882, 0.00225471, 0.003609865, 0.003438795, 0.0017920078, 0.0017179042, 0.0011426833, 0.0037917383, 0.0025979017, 0.0020743452, 0.0023560147, 0.0029039388, 0.0023568035, 0.0021233656, 0.0029297392, 0.0015750972]"
39,no_relation,"[0.84834933, 0.040749777, 0.02701266, 0.0047507863, 0.0048944624, 0.0020478156, 0.0010116426, 0.0015905101, 0.0023574035, 0.024459578, 0.0026884652, 0.0022243862, 0.0016364036, 0.0014960837, 0.0014420836, 0.0014626406, 0.0018273351, 0.0023006902, 0.002284144, 0.0038087862, 0.0031889128, 0.0015881598, 0.0034962087, 0.0020275696, 0.0020508878, 0.0019401739, 0.0013902348, 0.0023549767, 0.0017611228, 0.0018067326]"
40,no_relation,"[0.9440081, 0.01421847, 0.0021938465, 0.0015723268, 0.0028857235, 0.008655632, 0.0005538249, 0.0009786985, 0.0010536705, 0.0012420206, 0.0015687388, 0.00073253014, 0.0008135882, 0.0008387678, 0.0005583927, 0.00057044526, 0.00073369074, 0.0010229814, 0.0010918248, 0.0011048071, 0.0027267172, 0.0014911889, 0.00072756637, 0.0010312387, 0.00077186065, 0.00090610463, 0.0011684011, 0.0013046924, 0.0022858463, 0.0011882985]"
41,no_relation,"[0.70675457, 0.11706665, 0.026864903, 0.011974876, 0.04613004, 0.007529026, 0.0009630574, 0.0060330513, 0.0023968576, 0.0065424726, 0.004498502, 0.0026489513, 0.001768466, 0.003027076, 0.0014372776, 0.002383906, 0.0022546812, 0.0047848527, 0.0021046044, 0.007409278, 0.0056724045, 0.0040768115, 0.004085674, 0.002145414, 0.0028999683, 0.0033881264, 0.002986688, 0.0032150017, 0.004510151, 0.002446684]"
42,no_relation,"[0.49665275, 0.004006647, 0.00274034, 0.0045714104, 0.003605563, 0.002159264, 0.28386518, 0.0017369187, 0.010095741, 0.00480297, 0.0063283346, 0.011883308, 0.0029007164, 0.00434945, 0.010835438, 0.08299285, 0.0027737836, 0.0031300082, 0.0036037513, 0.015629299, 0.0014690108, 0.0034822905, 0.0029065853, 0.005886293, 0.003272704, 0.0041108765, 0.0065102004, 0.0042616483, 0.0028343496, 0.006602387]"
43,org:place_of_headquarters,"[0.014283178, 0.003497377, 0.0033557147, 0.0026936785, 0.004303581, 0.002675312, 0.004601718, 0.5874909, 0.0029331085, 0.0034552682, 0.0038236596, 0.004641471, 0.003406129, 0.0032523635, 0.0034284187, 0.0029222653, 0.00303433, 0.0030800246, 0.0031519406, 0.0030330527, 0.3071111, 0.0032166678, 0.0035105164, 0.0029268577, 0.0041238186, 0.0031839698, 0.0027266748, 0.0030220507, 0.0036796578, 0.003435231]"
