id,pred_label,probs
0,org:product,"[0.0063857264, 0.40840867, 0.5538843, 0.00033416177, 0.010673212, 0.00026228657, 0.0012841041, 0.0019210911, 0.00063878915, 0.00051958556, 0.00014584196, 0.00026203057, 0.000325466, 0.00014527338, 0.00015539966, 0.00034141866, 0.00042283276, 0.00031637796, 0.0031953044, 0.0040629804, 0.00026408568, 0.0011412175, 0.00047796397, 0.00049554993, 0.00045098312, 0.00021386312, 0.0005321669, 0.0023780295, 0.000361315]"
1,per:alternate_names,"[9.7666714e-05, 6.195962e-05, 0.00049088773, 0.028324509, 0.0009185275, 0.00139922, 9.6152544e-05, 0.0017791742, 8.4441e-05, 0.0006743099, 0.0002543197, 0.9602224, 0.00028614883, 0.0004250224, 0.000572489, 0.0005160655, 0.00052843266, 9.112434e-05, 0.00013065712, 0.00012358294, 0.0010891816, 0.000112194364, 7.840081e-05, 0.00015622345, 0.0004459637, 0.00055122975, 0.00018615514, 0.00011552993, 0.00018798195]"
2,org:dissolved,"[0.0004744309, 0.0011020082, 0.0013889936, 0.00013414648, 0.00039737078, 0.00015899206, 0.00039159236, 0.00047570674, 0.00065627426, 0.00047803522, 0.00017719532, 0.00018192962, 0.0006078442, 0.00030661488, 0.00013599312, 0.00026341667, 0.0005470006, 0.08349367, 0.00084866025, 0.0007128901, 0.00043197421, 0.9011548, 0.000709645, 0.003134734, 0.0005530433, 0.0002888831, 0.00029965842, 0.0002498855, 0.00024457407]"
3,per:colleagues,"[0.0007278557, 0.000582284, 0.000521956, 0.0007003139, 0.0005715795, 0.00045972582, 0.000377791, 0.000678105, 0.00046062458, 0.025720516, 0.00059551065, 0.008164766, 0.108076125, 0.6391759, 0.0005113609, 0.024021028, 0.1548119, 0.00061681896, 0.00040373043, 0.00038149845, 0.026279086, 0.0010631687, 0.00046333147, 0.0011182791, 0.00034905854, 0.0005416894, 0.0013616409, 0.00081874983, 0.0004455815]"
4,org:top_members/employees,"[0.9993125, 2.3765786e-05, 2.123795e-05, 2.0102778e-05, 1.6977903e-05, 1.945576e-05, 1.6759634e-05, 9.321311e-06, 2.0761172e-05, 1.4635867e-05, 2.55472e-05, 6.37212e-06, 8.27841e-06, 5.4778586e-05, 1.3655457e-05, 1.4779495e-05, 7.5744724e-06, 8.777965e-06, 4.8224058e-05, 3.215553e-05, 1.085523e-05, 2.5421792e-05, 1.6403405e-05, 1.340442e-05, 1.0865837e-05, 6.1280075e-06, 1.0353077e-05, 0.00020056752, 1.0332876e-05]"
5,org:member_of,"[0.015492573, 0.010565018, 0.0020926008, 0.00015995202, 0.002849095, 0.00027556383, 0.041949, 0.00023409649, 0.00066883536, 0.00033304322, 0.0002691804, 0.00012109237, 0.00035591025, 0.0007986367, 0.00036828543, 0.00053742435, 0.00030651432, 0.00047334988, 0.007624574, 0.9110334, 0.00038558312, 0.0007182567, 0.00027208755, 0.00024725514, 0.00026423187, 0.00015716492, 0.00014115716, 0.0011852175, 0.00012085609]"
6,per:employee_of,"[4.41578e-05, 1.7374434e-05, 1.2230412e-05, 0.0001407922, 1.3006497e-05, 0.9979874, 1.0835544e-05, 9.206366e-05, 2.5515272e-05, 1.5781028e-05, 0.0001517873, 0.00014217384, 1.2326335e-05, 0.000108001834, 0.00087347574, 1.7743088e-05, 1.5280568e-05, 1.5250751e-05, 2.2189712e-05, 1.0139368e-05, 2.2189712e-05, 1.4035936e-05, 4.0640367e-05, 2.8180842e-05, 2.6056658e-05, 3.812104e-05, 2.973585e-05, 2.8997418e-05, 4.4623812e-05]"
7,per:spouse,"[7.0599206e-05, 4.791728e-05, 6.686079e-05, 3.223303e-05, 2.8431665e-05, 3.426166e-05, 3.9977782e-05, 6.0984883e-05, 3.0771997e-05, 0.00011081422, 5.3966993e-05, 4.1855455e-05, 0.00013643698, 0.00021601234, 1.7835571e-05, 0.00011283442, 0.99830294, 7.3935415e-05, 2.4497662e-05, 2.647536e-05, 4.3650485e-05, 7.227562e-05, 3.373048e-05, 3.5748468e-05, 5.628144e-05, 3.1180367e-05, 9.5387986e-05, 4.8422964e-05, 5.375003e-05]"
8,org:members,"[0.0013534067, 0.979076, 0.0021860956, 5.47813e-05, 0.0018070351, 0.00022873135, 0.008339343, 0.00015469184, 0.0010072408, 0.00024348324, 0.00023564663, 7.436705e-05, 0.00025629209, 0.00017874606, 9.9779056e-05, 0.00017874606, 0.00011295413, 0.00013505643, 0.00082610996, 0.0015201909, 9.428458e-05, 0.00027242216, 0.0003653778, 0.00018962495, 0.00016085405, 0.00011597202, 0.00025691855, 0.00033957325, 0.00013624868]"
9,org:top_members/employees,"[0.81936926, 0.012320557, 0.021246474, 0.0008298712, 0.10747785, 0.0006691033, 0.002589474, 0.0008731015, 0.0030237085, 0.0009612583, 0.0006390867, 0.005685003, 0.0008417059, 0.0003380931, 0.00042406376, 0.00055254356, 0.00041262538, 0.00039837102, 0.0012030418, 0.0017308674, 0.00038460913, 0.0011835232, 0.0011293257, 0.0005801928, 0.0007018994, 0.00072453375, 0.00059221406, 0.01242932, 0.00068832346]"
