,id,pred_label,probs
0,0,org:product,"[0, 0.0063857264, 0.40840867, 0.5538843, 0.00033416177, 0.010673212, 0.00026228657, 0.0012841041, 0.0019210911, 0.00063878915, 0.00051958556, 0.00014584196, 0.00026203057, 0.000325466, 0.00014527338, 0.00015539966, 0.00034141866, 0.00042283276, 0.00031637796, 0.0031953044, 0.0040629804, 0.00026408568, 0.0011412175, 0.00047796397, 0.00049554993, 0.00045098312, 0.00021386312, 0.0005321669, 0.0023780295, 0.000361315]"
1,1,per:alternate_names,"[0, 9.7666714e-05, 6.195962e-05, 0.00049088773, 0.028324509, 0.0009185275, 0.00139922, 9.6152544e-05, 0.0017791742, 8.4441e-05, 0.0006743099, 0.0002543197, 0.9602224, 0.00028614883, 0.0004250224, 0.000572489, 0.0005160655, 0.00052843266, 9.112434e-05, 0.00013065712, 0.00012358294, 0.0010891816, 0.000112194364, 7.840081e-05, 0.00015622345, 0.0004459637, 0.00055122975, 0.00018615514, 0.00011552993, 0.00018798195]"
2,2,no_relation,"[0.980499267578125, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049, 0.000672439049]"
3,3,no_relation,"[0.7606201171875, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718, 0.008254478718]"
4,4,no_relation,"[0.7637939453125, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369, 0.008145036369]"
5,5,org:member_of,"[0, 0.015492573, 0.010565018, 0.0020926008, 0.00015995202, 0.002849095, 0.00027556383, 0.041949, 0.00023409649, 0.00066883536, 0.00033304322, 0.0002691804, 0.00012109237, 0.00035591025, 0.0007986367, 0.00036828543, 0.00053742435, 0.00030651432, 0.00047334988, 0.007624574, 0.9110334, 0.00038558312, 0.0007182567, 0.00027208755, 0.00024725514, 0.00026423187, 0.00015716492, 0.00014115716, 0.0011852175, 0.00012085609]"
6,6,per:employee_of,"[0, 4.41578e-05, 1.7374434e-05, 1.2230412e-05, 0.0001407922, 1.3006497e-05, 0.9979874, 1.0835544e-05, 9.206366e-05, 2.5515272e-05, 1.5781028e-05, 0.0001517873, 0.00014217384, 1.2326335e-05, 0.000108001834, 0.00087347574, 1.7743088e-05, 1.5280568e-05, 1.5250751e-05, 2.2189712e-05, 1.0139368e-05, 2.2189712e-05, 1.4035936e-05, 4.0640367e-05, 2.8180842e-05, 2.6056658e-05, 3.812104e-05, 2.973585e-05, 2.8997418e-05, 4.4623812e-05]"
7,7,per:spouse,"[0, 7.0599206e-05, 4.791728e-05, 6.686079e-05, 3.223303e-05, 2.8431665e-05, 3.426166e-05, 3.9977782e-05, 6.0984883e-05, 3.0771997e-05, 0.00011081422, 5.3966993e-05, 4.1855455e-05, 0.00013643698, 0.00021601234, 1.7835571e-05, 0.00011283442, 0.99830294, 7.3935415e-05, 2.4497662e-05, 2.647536e-05, 4.3650485e-05, 7.227562e-05, 3.373048e-05, 3.5748468e-05, 5.628144e-05, 3.1180367e-05, 9.5387986e-05, 4.8422964e-05, 5.375003e-05]"
8,8,org:members,"[0, 0.0013534067, 0.979076, 0.0021860956, 5.47813e-05, 0.0018070351, 0.00022873135, 0.008339343, 0.00015469184, 0.0010072408, 0.00024348324, 0.00023564663, 7.436705e-05, 0.00025629209, 0.00017874606, 9.9779056e-05, 0.00017874606, 0.00011295413, 0.00013505643, 0.00082610996, 0.0015201909, 9.428458e-05, 0.00027242216, 0.0003653778, 0.00018962495, 0.00016085405, 0.00011597202, 0.00025691855, 0.00033957325, 0.00013624868]"
9,9,org:top_members/employees,"[0, 0.81936926, 0.012320557, 0.021246474, 0.0008298712, 0.10747785, 0.0006691033, 0.002589474, 0.0008731015, 0.0030237085, 0.0009612583, 0.0006390867, 0.005685003, 0.0008417059, 0.0003380931, 0.00042406376, 0.00055254356, 0.00041262538, 0.00039837102, 0.0012030418, 0.0017308674, 0.00038460913, 0.0011835232, 0.0011293257, 0.0005801928, 0.0007018994, 0.00072453375, 0.00059221406, 0.01242932, 0.00068832346]"
10,10,per:colleagues,"[0, 0.0029111372, 0.0005186988, 0.0012424724, 0.013802065, 0.0008010263, 0.02616615, 0.0003415024, 0.011309006, 0.00041719346, 0.0021719732, 0.00089710695, 0.4045389, 0.0018313305, 0.43912283, 0.0015078833, 0.0038740886, 0.07690659, 0.00059411064, 0.0006871644, 0.00049980305, 0.0019147719, 0.00089448254, 0.00045641107, 0.0010305489, 0.00085769896, 0.0007343456, 0.0010116037, 0.0016970153, 0.0012620387]"
11,11,org:dissolved,"[0, 0.00028890188, 0.00022215866, 0.0002962227, 0.00012516856, 0.00022937865, 7.960084e-05, 0.00025758272, 0.00021490343, 0.0005231337, 0.00018753363, 0.00011083906, 0.00010151318, 0.00030024545, 0.00017712032, 7.326015e-05, 0.00014562407, 0.00042947842, 0.0052168122, 0.00033992366, 0.00029384572, 0.00016925714, 0.9883404, 0.00042189195, 0.0006197218, 8.277177e-05, 0.00017133594, 0.0002718624, 0.00016606448, 0.00014350646]"
12,12,org:product,"[0, 0.0038624317, 0.038366914, 0.9223114, 0.00013333188, 0.011678415, 0.000116407755, 0.0007326725, 0.00069317245, 0.0021133402, 0.00032647362, 9.908384e-05, 0.0002768041, 0.00023173066, 0.00014830733, 7.4646465e-05, 0.00042022511, 0.00022992733, 0.00076689746, 0.005741849, 0.007510756, 0.00023630113, 0.0010969219, 0.00039457227, 0.00028034064, 0.00042497105, 0.0001761193, 0.00028895726, 0.0009555268, 0.00031152333]"
13,13,no_relation,"[0.9935874938964844, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209, 0.0002211209]"
14,14,no_relation,"[0.745849609375, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573, 0.008763806573]"
